<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
GRASIM_F3,06-11-2023,13:08:00,1977.4,1977.4,1977.4,1977.4,476,475
GRASIM_F3,10-11-2023,11:17:00,1960.8,1960.8,1960.8,1960.8,476,950
GRASIM_F3,10-11-2023,12:44:00,1962.3,1962.3,1962.3,1962.3,475,1425
GRASIM_F3,15-11-2023,09:30:00,1970.0,1970.0,1970.0,1970.0,476,1900
GRASIM_F3,15-11-2023,10:48:00,1970.0,1970.0,1970.0,1970.0,475,1900
GRASIM_F3,16-11-2023,09:45:00,1955.25,1955.25,1955.25,1955.25,476,2375
GRASIM_F3,16-11-2023,14:59:00,1980.0,1980.0,1980.0,1980.0,475,1900
GRASIM_F3,17-11-2023,10:13:00,1987.9,1987.9,1987.9,1987.9,476,1900
GRASIM_F3,17-11-2023,10:19:00,1991.1,1991.1,1991.1,1991.1,475,2375
GRASIM_F3,17-11-2023,15:28:00,1995.0,1995.0,1995.0,1995.0,475,2850
GRASIM_F3,20-11-2023,10:50:00,1986.1,1986.1,1986.1,1986.1,476,2850
GRASIM_F3,20-11-2023,11:20:00,1981.15,1981.15,1981.15,1981.15,475,2850
GRASIM_F3,20-11-2023,14:24:00,1981.15,1981.15,1981.15,1981.15,475,2850
GRASIM_F3,20-11-2023,15:24:00,1999.0,1999.0,1999.0,1999.0,475,3325
GRASIM_F3,21-11-2023,12:07:00,2012.35,2012.35,2012.35,2012.35,476,3800
GRASIM_F3,21-11-2023,12:12:00,2011.25,2011.25,2011.25,2011.25,950,3800
GRASIM_F3,21-11-2023,12:48:00,2011.25,2011.25,2011.25,2011.25,475,4750
GRASIM_F3,21-11-2023,13:11:00,2000.0,2000.0,2000.0,2000.0,475,4750
GRASIM_F3,23-11-2023,13:43:00,1997.0,1997.0,1997.0,1997.0,476,4750
GRASIM_F3,23-11-2023,15:25:00,1986.05,1986.05,1986.05,1986.05,475,4750
GRASIM_F3,24-11-2023,12:18:00,1986.05,1986.05,1986.05,1986.05,951,4750
GRASIM_F3,24-11-2023,12:30:00,1976.05,1976.05,1976.05,1976.05,475,5700
GRASIM_F3,24-11-2023,13:27:00,1975.0,1975.0,1975.0,1975.0,475,6175
GRASIM_F3,24-11-2023,15:21:00,1975.0,1975.0,1975.0,1975.0,475,6175
GRASIM_F3,28-11-2023,10:15:00,1983.5,1983.5,1983.5,1983.5,476,6175
GRASIM_F3,28-11-2023,11:43:00,1988.95,1988.95,1988.95,1988.95,475,6650
GRASIM_F3,28-11-2023,14:31:00,1988.95,1988.95,1988.95,1988.95,475,7125
GRASIM_F3,28-11-2023,15:27:00,2004.0,2004.0,2004.0,2004.0,475,7600
GRASIM_F3,29-11-2023,09:21:00,2014.85,2014.85,2014.85,2014.85,476,7125
GRASIM_F3,29-11-2023,09:32:00,2016.0,2016.0,2016.0,2016.0,475,6650
GRASIM_F3,29-11-2023,09:36:00,2017.0,2017.0,2017.0,2017.0,475,6175
GRASIM_F3,29-11-2023,09:56:00,2017.0,2017.0,2017.0,2017.0,475,6175
GRASIM_F3,29-11-2023,10:01:00,2022.35,2022.35,2022.35,2022.35,475,6650
GRASIM_F3,29-11-2023,10:06:00,2022.35,2022.35,2022.35,2022.35,475,7125
GRASIM_F3,29-11-2023,10:22:00,2020.0,2020.0,2020.0,2020.0,475,7600
GRASIM_F3,29-11-2023,10:36:00,2014.5,2014.5,2014.5,2014.5,475,8075
GRASIM_F3,29-11-2023,12:05:00,2013.0,2013.0,2013.0,2013.0,475,8550
GRASIM_F3,29-11-2023,12:06:00,2004.1,2004.1,2004.1,2004.1,1425,9025
GRASIM_F3,29-11-2023,14:08:00,2004.1,2004.1,2004.1,2004.1,475,9500
GRASIM_F3,29-11-2023,14:44:00,2021.0,2021.0,2021.0,2021.0,475,9500
GRASIM_F3,29-11-2023,14:57:00,2021.0,2021.0,2021.0,2021.0,475,9025
GRASIM_F3,29-11-2023,15:02:00,2023.45,2023.45,2023.45,2023.45,475,9025
GRASIM_F3,29-11-2023,15:17:00,2023.45,2023.45,2023.45,2023.45,475,9025
GRASIM_F3,29-11-2023,15:26:00,2030.3,2030.3,2030.3,2030.3,475,8550
GRASIM_F3,30-11-2023,09:20:00,2032.0,2032.0,2032.0,2032.0,476,9025
GRASIM_F3,30-11-2023,09:23:00,2038.9,2038.9,2038.9,2038.9,475,9500
GRASIM_F3,30-11-2023,09:24:00,2039.2,2039.2,2039.2,2039.2,475,9500
GRASIM_F3,30-11-2023,09:27:00,2039.2,2039.2,2039.2,2039.2,475,10450
GRASIM_F3,30-11-2023,09:37:00,2041.4,2041.4,2041.4,2041.4,950,10925
GRASIM_F3,30-11-2023,10:07:00,2041.4,2041.4,2041.4,2041.4,475,10925
GRASIM_F3,30-11-2023,10:21:00,2027.0,2027.0,2027.0,2027.0,475,10925
GRASIM_F3,30-11-2023,10:38:00,2033.95,2033.95,2033.95,2033.95,475,11400
GRASIM_F3,30-11-2023,11:57:00,2033.95,2033.95,2033.95,2033.95,475,11875
GRASIM_F3,30-11-2023,12:01:00,2016.4,2016.4,2016.4,2016.4,475,12350
GRASIM_F3,30-11-2023,13:11:00,2016.4,2016.4,2016.4,2016.4,475,11875
GRASIM_F3,30-11-2023,13:12:00,2019.8,2019.8,2019.8,2019.8,475,12350
GRASIM_F3,30-11-2023,13:51:00,2028.5,2028.5,2028.5,2028.5,475,12825
GRASIM_F3,30-11-2023,14:08:00,2023.25,2023.25,2023.25,2023.25,475,13300
GRASIM_F3,30-11-2023,14:33:00,2025.05,2025.05,2025.05,2025.05,475,13775
GRASIM_F3,30-11-2023,15:02:00,2031.6,2031.6,2031.6,2031.6,475,13775
GRASIM_F3,30-11-2023,15:03:00,2032.35,2032.35,2032.35,2032.35,950,13775
GRASIM_F3,30-11-2023,15:05:00,2035.1,2035.1,2035.1,2035.1,475,14725
GRASIM_F3,30-11-2023,15:24:00,2029.8,2029.8,2029.8,2029.8,475,15200
GRASIM_F3,30-11-2023,15:28:00,2032.65,2032.65,2032.65,2032.65,475,14725
